timestamp,domain,measure
81,cpu%_package-0,12.71581
81,freq_package-0,907813.75
84,psys-1,29.0045
84,core-0,16.88087
84,package-0,19.0636
84,uncore-0,0.01602
84,package-global,19.0636
84,cpu%_package-global,12.75
84,cpu%_package-0,12.65134
84,freq_package-0,1130084.75
87,psys-1,28.95183
87,core-0,16.82738
87,package-0,18.94001
87,uncore-0,0.01256
87,package-global,18.94001
87,cpu%_package-global,12.80234
87,cpu%_package-0,12.75
87,freq_package-0,1072207.5
90,psys-1,19.55946
90,core-0,6.42087
90,package-0,9.84582
90,uncore-0,0.00224
90,package-global,9.84582
90,cpu%_package-global,12.64608
90,cpu%_package-0,12.66653
90,freq_package-0,1592014.125
93,psys-1,30.00313
93,core-0,16.73152
93,package-0,19.4241
93,uncore-0,0.05244
93,package-global,19.4241
93,cpu%_package-global,14.56311
93,cpu%_package-0,14.73521
93,freq_package-0,4273710.125
96,psys-1,35.93412
96,core-0,20.79234
96,package-0,24.56333
96,uncore-0,0.21332
96,package-global,24.56333
96,cpu%_package-global,21.04355
96,cpu%_package-0,20.61924
96,freq_package-0,1775809.5
99,psys-1,7.01636
99,core-0,1.27534
99,package-0,2.83566
99,uncore-0,0.02371
99,package-global,2.83566
99,cpu%_package-global,1.9616
99,cpu%_package-0,2.04139
99,freq_package-0,646680.375
102,psys-1,4.28451
102,core-0,0.18393
102,package-0,1.24987
102,uncore-0,0.01358
102,package-global,1.24987
102,cpu%_package-global,0.37594
102,cpu%_package-0,0.33376
102,freq_package-0,811268.25
105,psys-1,8.47298
105,core-0,0.53246
105,package-0,2.18208
105,uncore-0,0.02341
105,package-global,2.18208
105,cpu%_package-global,1.31467
105,cpu%_package-0,1.35566
105,freq_package-0,680379.375
