timestamp,domain,measure
81,cpu%_package-0,24.73213
81,freq_package-0,2299719.375
84,psys-1,24.64585
84,core-0,10.76114
84,package-0,15.05745
84,uncore-0,0.33284
84,package-global,15.05745
84,cpu%_package-global,24.25292
84,cpu%_package-0,24.48433
84,freq_package-0,2119332.125
87,psys-1,24.62433
87,core-0,10.65848
87,package-0,15.04671
87,uncore-0,0.36149
87,package-global,15.04671
87,cpu%_package-global,24.80653
87,cpu%_package-0,24.83152
87,freq_package-0,2082627.375
90,psys-1,24.69521
90,core-0,10.73441
90,package-0,15.10588
90,uncore-0,0.36328
90,package-global,15.10588
90,cpu%_package-global,24.27646
90,cpu%_package-0,24.82173
90,freq_package-0,2362949.25
93,psys-1,24.44694
93,core-0,10.60552
93,package-0,14.87367
93,uncore-0,0.25723
93,package-global,14.87367
93,cpu%_package-global,24.70993
93,cpu%_package-0,24.64739
93,freq_package-0,2381841.875
96,psys-1,24.6212
96,core-0,10.64429
96,package-0,15.0613
96,uncore-0,0.38186
96,package-global,15.0613
96,cpu%_package-global,24.4713
96,cpu%_package-0,25.07286
96,freq_package-0,2620537.375
99,psys-1,24.52764
99,core-0,10.54851
99,package-0,14.92271
99,uncore-0,0.33893
99,package-global,14.92271
99,cpu%_package-global,24.76314
99,cpu%_package-0,24.75724
99,freq_package-0,2681202.875
102,psys-1,24.54352
102,core-0,10.59291
102,package-0,14.97742
102,uncore-0,0.35491
102,package-global,14.97742
102,cpu%_package-global,24.57956
102,cpu%_package-0,24.65187
102,freq_package-0,1939332.875
105,psys-1,24.41193
105,core-0,10.46539
105,package-0,14.83646
105,uncore-0,0.36982
105,package-global,14.83646
105,cpu%_package-global,24.55914
105,cpu%_package-0,24.77943
105,freq_package-0,2158499.875
108,psys-1,24.64781
108,core-0,10.66238
108,package-0,15.05837
108,uncore-0,0.36834
108,package-global,15.05837
108,cpu%_package-global,24.64516
108,cpu%_package-0,24.91077
108,freq_package-0,2227276.0
111,psys-1,21.33783
111,core-0,7.51746
111,package-0,11.81173
111,uncore-0,0.3751
111,package-global,11.81173
111,cpu%_package-global,18.49809
111,cpu%_package-0,18.45791
111,freq_package-0,771615.25
114,psys-1,5.41307
114,core-0,1.06531
114,package-0,2.41248
114,uncore-0,0.02988
114,package-global,2.41248
114,cpu%_package-global,2.66445
114,cpu%_package-0,2.6585
114,freq_package-0,691767.375
117,psys-1,2.04388
117,core-0,0.13231
117,package-0,0.81296
117,uncore-0,0.02715
117,package-global,0.81296
117,cpu%_package-global,0.33361
117,cpu%_package-0,0.25
117,freq_package-0,400000.0
120,psys-1,5.84328
120,core-0,1.86471
120,package-0,3.15812
120,uncore-0,0.04051
120,package-global,3.15812
120,cpu%_package-global,4.14573
120,cpu%_package-0,4.26532
120,freq_package-0,2350684.5
123,psys-1,25.04877
123,core-0,11.19422
123,package-0,15.40558
123,uncore-0,0.26441
123,package-global,15.40558
123,cpu%_package-global,22.23667
123,cpu%_package-0,22.33008
123,freq_package-0,1350847.5
126,psys-1,24.99226
126,core-0,11.10863
126,package-0,15.35108
126,uncore-0,0.26662
126,package-global,15.35108
126,cpu%_package-global,23.14373
126,cpu%_package-0,23.93252
126,freq_package-0,1784616.25
129,psys-1,10.43752
129,core-0,4.12407
129,package-0,6.13218
129,uncore-0,0.09422
129,package-global,6.13218
129,cpu%_package-global,7.67274
129,cpu%_package-0,7.714
129,freq_package-0,609926.375
132,psys-1,1.89979
132,core-0,0.06536
132,package-0,0.79162
132,uncore-0,0.00504
132,package-global,0.79162
132,cpu%_package-global,0.12505
132,cpu%_package-0,0.125
132,freq_package-0,680527.375
135,psys-1,22.59652
135,core-0,11.94958
135,package-0,13.89631
135,uncore-0,0.00012
135,package-global,13.89631
135,cpu%_package-global,12.38532
135,cpu%_package-0,12.37486
135,freq_package-0,936694.5
138,psys-1,23.49172
138,core-0,12.43905
138,package-0,14.53374
138,uncore-0,0.00163
138,package-global,14.53374
138,cpu%_package-global,12.67723
138,cpu%_package-0,12.58361
138,freq_package-0,914982.5
141,psys-1,23.47434
141,core-0,12.47006
141,package-0,14.53137
141,uncore-0,0.0
141,package-global,14.53137
141,cpu%_package-global,12.78102
141,cpu%_package-0,12.87362
141,freq_package-0,680914.625
144,psys-1,23.54587
144,core-0,12.36002
144,package-0,14.48789
144,uncore-0,0.0
144,package-global,14.48789
144,cpu%_package-global,13.13595
144,cpu%_package-0,13.00154
144,freq_package-0,895838.75
147,psys-1,24.46344
147,core-0,11.10837
147,package-0,14.86559
147,uncore-0,0.27545
147,package-global,14.86559
147,cpu%_package-global,23.70339
147,cpu%_package-0,23.90073
147,freq_package-0,2208642.5
150,psys-1,24.92803
150,core-0,10.82424
150,package-0,15.24173
150,uncore-0,0.36799
150,package-global,15.24173
150,cpu%_package-global,24.87136
150,cpu%_package-0,25.24073
150,freq_package-0,2490026.125
153,psys-1,24.54599
153,core-0,10.52278
153,package-0,14.94751
153,uncore-0,0.36601
153,package-global,14.94751
153,cpu%_package-global,24.60283
153,cpu%_package-0,24.5566
153,freq_package-0,2094623.0
156,psys-1,24.96762
156,core-0,10.81553
156,package-0,15.27908
156,uncore-0,0.41775
156,package-global,15.27908
156,cpu%_package-global,24.74271
156,cpu%_package-0,25.42944
156,freq_package-0,1765153.75
159,psys-1,24.87374
159,core-0,10.68203
159,package-0,15.138
159,uncore-0,0.40689
159,package-global,15.138
159,cpu%_package-global,24.65636
159,cpu%_package-0,24.66274
159,freq_package-0,2169569.375
162,psys-1,24.93282
162,core-0,10.75135
162,package-0,15.19028
162,uncore-0,0.40826
162,package-global,15.19028
162,cpu%_package-global,24.42913
162,cpu%_package-0,24.6759
162,freq_package-0,1705275.75
165,psys-1,24.88849
165,core-0,10.80177
165,package-0,15.14864
165,uncore-0,0.34565
165,package-global,15.14864
165,cpu%_package-global,24.65517
165,cpu%_package-0,24.9244
165,freq_package-0,2320550.875
168,psys-1,22.55271
168,core-0,8.37225
168,package-0,13.17417
168,uncore-0,0.77674
168,package-global,13.17417
168,cpu%_package-global,23.90645
168,cpu%_package-0,23.70749
168,freq_package-0,1936870.5
171,psys-1,22.66383
171,core-0,8.55373
171,package-0,13.25752
171,uncore-0,0.67904
171,package-global,13.25752
171,cpu%_package-global,24.94624
171,cpu%_package-0,25.1722
171,freq_package-0,2195469.25
174,psys-1,22.64941
174,core-0,8.78279
174,package-0,13.29257
174,uncore-0,0.50682
174,package-global,13.29257
174,cpu%_package-global,24.29866
174,cpu%_package-0,24.39089
174,freq_package-0,2210026.125
177,psys-1,22.62427
177,core-0,8.74821
177,package-0,13.32799
177,uncore-0,0.57862
177,package-global,13.32799
177,cpu%_package-global,24.74182
177,cpu%_package-0,24.87871
177,freq_package-0,2062669.25
180,psys-1,22.39467
180,core-0,8.43725
180,package-0,13.11987
180,uncore-0,0.67766
180,package-global,13.11987
180,cpu%_package-global,24.60146
180,cpu%_package-0,24.62157
180,freq_package-0,2536469.25
183,psys-1,22.24548
183,core-0,8.2287
183,package-0,12.98972
183,uncore-0,0.75055
183,package-global,12.98972
183,cpu%_package-global,24.123
183,cpu%_package-0,24.27783
183,freq_package-0,2012676.375
186,psys-1,22.51129
186,core-0,8.56083
186,package-0,13.23101
186,uncore-0,0.67827
186,package-global,13.23101
186,cpu%_package-global,24.43772
186,cpu%_package-0,24.24288
186,freq_package-0,2071080.875
189,psys-1,22.67604
189,core-0,8.94034
189,package-0,13.38844
189,uncore-0,0.45811
189,package-global,13.38844
189,cpu%_package-global,24.43869
189,cpu%_package-0,24.87797
189,freq_package-0,2271861.625
192,psys-1,22.25581
192,core-0,8.43436
192,package-0,13.12017
192,uncore-0,0.66802
192,package-global,13.12017
192,cpu%_package-global,24.05722
192,cpu%_package-0,24.14749
192,freq_package-0,2171807.625
195,psys-1,22.62336
195,core-0,8.87185
195,package-0,13.45259
195,uncore-0,0.55389
195,package-global,13.45259
195,cpu%_package-global,24.53644
195,cpu%_package-0,24.91765
195,freq_package-0,2011151.75
198,psys-1,22.73547
198,core-0,8.9391
198,package-0,13.53238
198,uncore-0,0.58526
198,package-global,13.53238
198,cpu%_package-global,24.48097
198,cpu%_package-0,24.76097
198,freq_package-0,2635346.625
201,psys-1,22.72494
201,core-0,8.831
201,package-0,13.52345
201,uncore-0,0.63639
201,package-global,13.52345
201,cpu%_package-global,24.88141
201,cpu%_package-0,25.53724
201,freq_package-0,1840832.0
204,psys-1,22.41472
204,core-0,8.58087
204,package-0,13.24182
204,uncore-0,0.59547
204,package-global,13.24182
204,cpu%_package-global,24.45981
204,cpu%_package-0,24.50839
204,freq_package-0,2115253.625
207,psys-1,22.3495
207,core-0,8.28565
207,package-0,13.18393
207,uncore-0,0.79438
207,package-global,13.18393
207,cpu%_package-global,24.65517
207,cpu%_package-0,24.47412
207,freq_package-0,2156357.375
210,psys-1,22.48856
210,core-0,8.39824
210,package-0,13.33329
210,uncore-0,0.8155
210,package-global,13.33329
210,cpu%_package-global,24.66523
210,cpu%_package-0,24.76958
210,freq_package-0,2263685.25
213,psys-1,19.57927
213,core-0,4.9807
213,package-0,8.87733
213,uncore-0,0.15133
213,package-global,8.87733
213,cpu%_package-global,14.33962
213,cpu%_package-0,14.31072
213,freq_package-0,724999.0
216,psys-1,13.62284
216,core-0,2.81989
216,package-0,5.60223
216,uncore-0,0.0367
216,package-global,5.60223
